claro_id,nivel_m,direccion,grupo,perfil,elementos,nodos,nodo_i,nodo_j,nodo_critico,longitud_m,delta_max_m,delta_adm_m,ratio,uz_critico_m,uz_cuerda_m,nodos_intermedios,estado,metodo
DV-0075,6.4,X,Viga_1,IR 356 x 44.6,228,"42, 43",42,43,43,6.32,0.0,0.026333333333333334,0.0,-0.001608124048759431,-0.001608124048759431,0,Cumple,delta_nodal_local_vs_cuerda
DV-0077,6.4,X,Viga_1,IR 356 x 44.6,233,"44, 45",44,45,45,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0012101612262874531,-0.0012101612262874531,0,Cumple,delta_nodal_local_vs_cuerda
DV-0079,9.6,Y,Viga_1,IR 356 x 44.6,325,"61, 65",61,65,65,6.2,0.0,0.025833333333333333,0.0,-0.0015482393978474543,-0.0015482393978474543,0,Cumple,delta_nodal_local_vs_cuerda
DV-0080,9.6,Y,Viga_1,IR 356 x 44.6,352,"65, 78",65,78,78,1.5,0.0,0.00625,0.0,-0.0030666666726813278,-0.0030666666726813278,0,Cumple,delta_nodal_local_vs_cuerda
DV-0081,9.6,Y,Viga_1,IR 356 x 44.6,341,"69, 73",69,73,73,6.199999999999999,0.0,0.02583333333333333,0.0,-0.0018224686316933073,-0.0018224686316933073,0,Cumple,delta_nodal_local_vs_cuerda
DV-0083,9.6,Y,Viga_1,IR 356 x 44.6,353,"66, 79",66,79,79,1.5,0.0,0.00625,0.0,-0.002731084935375906,-0.002731084935375906,0,Cumple,delta_nodal_local_vs_cuerda
DV-0085,9.6,Y,Viga_1,IR 356 x 44.6,322,"60, 64",60,64,64,6.2,0.0,0.025833333333333333,0.0,-0.0020663604019920834,-0.0020663604019920834,0,Cumple,delta_nodal_local_vs_cuerda
DV-0086,9.6,Y,Viga_1,IR 356 x 44.6,332,"64, 68",64,68,68,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.001968788096960965,-0.001968788096960965,0,Cumple,delta_nodal_local_vs_cuerda
DV-0087,9.6,Y,Viga_1,IR 356 x 44.6,339,"68, 72",68,72,72,6.199999999999999,0.0,0.02583333333333333,0.0,-0.002056431658369021,-0.002056431658369021,0,Cumple,delta_nodal_local_vs_cuerda
DV-0090,9.6,Y,Viga_1,IR 356 x 44.6,329,"63, 67",63,67,67,6.1000000000000005,0.0,0.025416666666666667,0.0,-0.0021297193397138672,-0.0021297193397138672,0,Cumple,delta_nodal_local_vs_cuerda
DV-0093,9.6,X,Viga_1,IR 356 x 44.6,321,"60, 61",60,61,61,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0017392784771937486,-0.0017392784771937486,0,Cumple,delta_nodal_local_vs_cuerda
DV-0095,9.6,X,Viga_1,IR 356 x 44.6,334,"67, 68",67,68,68,6.32,0.0,0.026333333333333334,0.0,-0.001968788096960965,-0.001968788096960965,0,Cumple,delta_nodal_local_vs_cuerda
DV-0097,9.6,X,Viga_1,IR 356 x 44.6,340,"69, 70",69,70,70,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0009794458231526253,-0.0009794458231526253,0,Cumple,delta_nodal_local_vs_cuerda
DV-0099,9.6,X,Viga_1,IR 356 x 44.6,346,"72, 73",72,73,73,5.300000000000001,0.0,0.022083333333333337,0.0,-0.0018224686316933073,-0.0018224686316933073,0,Cumple,delta_nodal_local_vs_cuerda
DV-0101,9.6,X,Viga_1,IR 356 x 44.6,328,"63, 64",63,64,64,6.32,0.0,0.026333333333333334,0.0,-0.0020663604019920834,-0.0020663604019920834,0,Cumple,delta_nodal_local_vs_cuerda
DV-0103,9.6,X,Viga_1,IR 356 x 44.6,333,"65, 66",65,66,66,5.449999999999999,0.0,0.02270833333333333,0.0,-0.0015864482181179747,-0.0015864482181179747,0,Cumple,delta_nodal_local_vs_cuerda
